key;scientificName;decimalLatitude;decimalLongitude;issues;datasetKey;basisOfRecord;occurrenceStatus;acceptedScientificName;kingdom;phylum;family;genus;species;genericName;specificEpithet;taxonRank;taxonomicStatus;iucnRedListCategory;class
4910953724;Amphisbaena fuliginosa varia Laurenti, 1768;11,215298;-73,998445;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Amphisbaena fuliginosa varia Laurenti, 1768;Animalia;Chordata;Amphisbaenidae;Amphisbaena;Amphisbaena fuliginosa;Amphisbaena;fuliginosa;SUBSPECIES;ACCEPTED;NA;Squamata
4919428879;Strabomantidae;10,901483;-73,859205;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Craugastoridae;Animalia;Chordata;Craugastoridae;NA;NA;NA;NA;FAMILY;SYNONYM;NA;Amphibia
4919520577;Iguana iguana (Linnaeus, 1758);11,171109;-74,233482;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4919268238;Ameiva bifrontata Cope, 1862;11,322805;-73,957465;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Ameiva bifrontata Cope, 1862;Animalia;Chordata;Teiidae;Ameiva;Ameiva bifrontata;Ameiva;bifrontata;SPECIES;ACCEPTED;LC;Squamata
4919676645;Anolis auratus Daudin, 1802;11,202545;-74,100671;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis auratus Daudin, 1802;Animalia;Chordata;Dactyloidae;Anolis;Anolis auratus;Anolis;auratus;SPECIES;ACCEPTED;LC;Squamata
4919657451;Strabomantidae;10,833956;-73,881396;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Craugastoridae;Animalia;Chordata;Craugastoridae;NA;NA;NA;NA;FAMILY;SYNONYM;NA;Amphibia
4921630924;Leptodeira ashmeadii (Hallowell, 1845);11,336618;-73,989944;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Leptodeira ashmeadii (Hallowell, 1845);Animalia;Chordata;Colubridae;Leptodeira;Leptodeira ashmeadii;Leptodeira;ashmeadii;SPECIES;ACCEPTED;NE;Squamata
4921450239;Rhinella horribilis (Wiegmann, 1833);11,32255;-73,973198;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Rhinella horribilis (Wiegmann, 1833);Animalia;Chordata;Bufonidae;Rhinella;Rhinella horribilis;Rhinella;horribilis;SPECIES;ACCEPTED;NE;Amphibia
4923755454;Bolitoglossa savagei Brame & Wake, 1963;10,86441;-73,832645;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4923712873;Atelopus nahumae Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;10,966751;-73,930997;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atelopus nahumae Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;Animalia;Chordata;Bufonidae;Atelopus;Atelopus nahumae;Atelopus;nahumae;SPECIES;ACCEPTED;EN;Amphibia
4923990128;Alopoglossus romaleos (Harris, 1994);10,896488;-73,991522;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alopoglossus romaleos (Harris, 1994);Animalia;Chordata;Alopoglossidae;Alopoglossus;Alopoglossus romaleos;Alopoglossus;romaleos;SPECIES;ACCEPTED;NE;Squamata
